step,beta,energy
3290,0.571833,155
3300,0.57487,153
3310,0.577924,155
3320,0.580995,155
3330,0.584081,157
3340,0.587184,152
3350,0.590303,150
3360,0.593439,151
3370,0.596592,146
3380,0.599761,146
3390,0.602947,141
3400,0.60615,140
3410,0.60937,142
3420,0.612608,148
3430,0.615862,148
3440,0.619134,149
3450,0.622423,151
3460,0.625729,151
3470,0.629053,150
3480,0.632395,149
3490,0.635755,148
3500,0.639132,153
3510,0.642527,155
3520,0.645941,158
3530,0.649372,158
3540,0.652822,165
3550,0.65629,167
3560,0.659776,162
3570,0.663281,159
3580,0.666805,153
3590,0.670347,152
3600,0.673908,152
3610,0.677489,157
3620,0.681088,160
3630,0.684706,165
3640,0.688343,160
3650,0.692,156
3660,0.695676,155
3670,0.699372,157
3680,0.703087,153
3690,0.706822,158
3700,0.710577,156
3710,0.714352,155
3720,0.718147,153
3730,0.721962,157
3740,0.725797,156
3750,0.729653,155
3760,0.733529,151
3770,0.737426,155
3780,0.741343,155
3790,0.745282,151
3800,0.749241,150
3810,0.753221,154
3820,0.757223,149
3830,0.761245,151
3840,0.765289,155
3850,0.769355,155
3860,0.773442,159
3870,0.777551,154
3880,0.781681,149
3890,0.785834,152
3900,0.790009,156
3910,0.794205,155
3920,0.798425,152
3930,0.802666,151
3940,0.80693,153
3950,0.811217,152
3960,0.815526,153
3970,0.819859,152
3980,0.824214,148
3990,0.828593,146
4000,0.832994,146
4010,0.83742,144
4020,0.841868,143
4030,0.846341,143
4040,0.850837,142
4050,0.855357,140
4060,0.859901,143
4070,0.864469,144
4080,0.869061,144
4090,0.873678,143
4100,0.878319,145
4110,0.882985,144
4120,0.887676,144
4130,0.892392,145
4140,0.897132,144
4150,0.901898,143
4160,0.906689,141
4170,0.911506,141
4180,0.916348,139
4190,0.921216,143
4200,0.92611,140
4210,0.93103,139
4220,0.935976,134
4230,0.940948,134
4240,0.945947,134
4250,0.950972,134
4260,0.956024,136
4270,0.961103,131
4280,0.966209,133
4290,0.971342,134
4300,0.976502,134
4310,0.981689,129
4320,0.986904,128
4330,0.992147,129
4340,0.997418,127
4350,1.00272,126
4360,1.00804,127
4370,1.0134,129
4380,1.01878,127
4390,1.02419,125
4400,1.02964,121
4410,1.0351,118
4420,1.0406,120
4430,1.04613,120
4440,1.05169,122
4450,1.05728,121
4460,1.06289,116
4470,1.06854,119
4480,1.07422,119
4490,1.07992,119
4500,1.08566,118
4510,1.09143,118
4520,1.09722,121
4530,1.10305,118
4540,1.10891,115
4550,1.1148,115
4560,1.12073,111
4570,1.12668,113
4580,1.13267,112
4590,1.13868,114
4600,1.14473,112
4610,1.15081,117
4620,1.15693,117
4630,1.16307,114
4640,1.16925,111
4650,1.17546,108
4660,1.18171,109
4670,1.18799,110
4680,1.1943,110
4690,1.20064,108
4700,1.20702,108
4710,1.21343,105
4720,1.21988,104
4730,1.22636,108
4740,1.23287,105
4750,1.23942,110
4760,1.24601,109
4770,1.25263,110
4780,1.25928,108
4790,1.26597,111
4800,1.2727,113
4810,1.27946,115
4820,1.28625,112
4830,1.29309,114
4840,1.29996,113
4850,1.30686,111
4860,1.3138,108
4870,1.32078,109
4880,1.3278,109
4890,1.33485,109
4900,1.34195,104
4910,1.34907,107
4920,1.35624,109
4930,1.36345,111
4940,1.37069,109
4950,1.37797,109
4960,1.38529,110
4970,1.39265,110
4980,1.40005,108
4990,1.40749,108
5000,1.41496,106
5010,1.42248,107
5020,1.43004,107
5030,1.43763,101
5040,1.44527,102
5050,1.45295,101
5060,1.46067,102
5070,1.46843,102
5080,1.47623,101
5090,1.48407,100
5100,1.49195,100
5110,1.49988,100
5120,1.50785,101
5130,1.51586,98
5140,1.52391,99
5150,1.53201,98
5160,1.54014,99
5170,1.54833,95
5180,1.55655,94
5190,1.56482,94
5200,1.57313,94
5210,1.58149,95
5220,1.58989,95
5230,1.59834,93
5240,1.60683,93
5250,1.61537,95
5260,1.62395,96
5270,1.63257,95
5280,1.64125,93
5290,1.64997,94
5300,1.65873,93
5310,1.66754,91
5320,1.6764,92
5330,1.68531,94
5340,1.69426,91
5350,1.70326,94
5360,1.71231,93
5370,1.72141,90
5380,1.73055,88
5390,1.73974,89
5400,1.74899,90
5410,1.75828,88
5420,1.76762,87
5430,1.77701,87
5440,1.78645,86
5450,1.79594,87
5460,1.80548,88
5470,1.81507,88
5480,1.82471,86
5490,1.83441,86
5500,1.84415,87
5510,1.85395,87
5520,1.8638,85
5530,1.8737,85
5540,1.88365,87
5550,1.89366,89
5560,1.90372,83
5570,1.91383,82
5580,1.924,83
5590,1.93422,83
5600,1.9445,82
5610,1.95483,82
5620,1.96521,84
5630,1.97565,84
5640,1.98615,83
5650,1.9967,83
5660,2.0073,82
5670,2.01797,82
5680,2.02869,82
5690,2.03946,84
5700,2.0503,84
5710,2.06119,81
5720,2.07214,80
5730,2.08315,79
5740,2.09422,79
5750,2.10534,80
5760,2.11652,78
5770,2.12777,80
5780,2.13907,79
5790,2.15044,79
5800,2.16186,79
5810,2.17334,80
5820,2.18489,79
5830,2.1965,75
5840,2.20817,72
5850,2.2199,70
5860,2.23169,71
