u,v,color
0,1,0
0,2,2
0,3,2
0,4,2
0,5,1
0,6,2
0,7,2
0,8,0
0,9,1
0,10,0
0,11,0
0,12,2
0,13,1
0,14,1
0,15,1
0,16,0
0,17,1
0,18,0
0,19,0
0,20,0
0,21,1
0,22,2
0,23,1
0,24,1
0,25,2
0,26,1
0,27,1
0,28,0
0,29,0
0,30,0
0,31,2
0,32,1
0,33,0
0,34,1
0,35,2
0,36,1
0,37,0
0,38,2
0,39,0
0,40,1
0,41,1
0,42,2
0,43,2
0,44,1
0,45,0
0,46,0
0,47,2
0,48,2
0,49,1
0,50,1
0,51,2
0,52,0
0,53,2
0,54,0
0,55,0
0,56,2
0,57,2
0,58,0
0,59,1
0,60,1
0,61,0
0,62,1
0,63,2
0,64,0
1,2,1
1,3,1
1,4,2
1,5,2
1,6,2
1,7,1
1,8,1
1,9,2
1,10,0
1,11,1
1,12,2
1,13,2
1,14,1
1,15,2
1,16,2
1,17,1
1,18,2
1,19,0
1,20,2
1,21,2
1,22,2
1,23,0
1,24,1
1,25,1
1,26,1
1,27,0
1,28,1
1,29,1
1,30,1
1,31,2
1,32,2
1,33,2
1,34,2
1,35,2
1,36,2
1,37,2
1,38,2
1,39,0
1,40,0
1,41,0
1,42,0
1,43,2
1,44,2
1,45,0
1,46,1
1,47,2
1,48,1
1,49,2
1,50,1
1,51,0
1,52,0
1,53,1
1,54,2
1,55,0
1,56,0
1,57,0
1,58,2
1,59,0
1,60,0
1,61,0
1,62,1
1,63,1
1,64,1
2,3,0
2,4,0
2,5,1
2,6,2
2,7,0
2,8,0
2,9,1
2,10,2
2,11,2
2,12,1
2,13,2
2,14,0
2,15,1
2,16,1
2,17,2
2,18,2
2,19,2
2,20,2
2,21,0
2,22,0
2,23,1
2,24,0
2,25,0
2,26,2
2,27,2
2,28,1
2,29,2
2,30,2
2,31,0
2,32,1
2,33,0
2,34,2
2,35,1
2,36,0
2,37,1
2,38,0
2,39,1
2,40,0
2,41,2
2,42,0
2,43,2
2,44,0
2,45,1
2,46,2
2,47,2
2,48,0
2,49,1
2,50,1
2,51,2
2,52,1
2,53,0
2,54,2
2,55,2
2,56,0
2,57,1
2,58,1
2,59,0
2,60,0
2,61,0
2,62,1
2,63,2
2,64,1
3,4,1
3,5,2
3,6,0
3,7,1
3,8,2
3,9,0
3,10,1
3,11,0
3,12,0
3,13,0
3,14,1
3,15,2
3,16,2
3,17,1
3,18,0
3,19,2
3,20,0
3,21,1
3,22,0
3,23,0
3,24,0
3,25,2
3,26,1
3,27,0
3,28,0
3,29,2
3,30,2
3,31,2
3,32,2
3,33,2
3,34,2
3,35,0
3,36,0
3,37,0
3,38,1
3,39,1
3,40,1
3,41,2
3,42,2
3,43,1
3,44,1
3,45,2
3,46,2
3,47,2
3,48,1
3,49,2
3,50,0
3,51,1
3,52,1
3,53,0
3,54,0
3,55,2
3,56,1
3,57,0
3,58,1
3,59,1
3,60,1
3,61,2
3,62,1
3,63,1
3,64,1
4,5,2
4,6,1
4,7,0
4,8,0
4,9,0
4,10,1
4,11,2
4,12,2
4,13,0
4,14,1
4,15,0
4,16,1
4,17,1
4,18,0
4,19,1
4,20,1
4,21,0
4,22,0
4,23,1
4,24,0
4,25,0
4,26,2
4,27,2
4,28,1
4,29,0
4,30,0
4,31,1
4,32,2
4,33,0
4,34,2
4,35,1
4,36,2
4,37,0
4,38,2
4,39,1
4,40,0
4,41,1
4,42,2
4,43,0
4,44,1
4,45,2
4,46,2
4,47,2
4,48,0
4,49,1
4,50,1
4,51,1
4,52,1
4,53,2
4,54,1
4,55,1
4,56,1
4,57,1
4,58,2
4,59,2
4,60,1
4,61,2
4,62,2
4,63,2
4,64,2
5,6,1
5,7,2
5,8,1
5,9,1
5,10,0
5,11,1
5,12,0
5,13,1
5,14,2
5,15,1
5,16,0
5,17,1
5,18,2
5,19,2
5,20,0
5,21,2
5,22,1
5,23,2
5,24,0
5,25,2
5,26,2
5,27,1
5,28,1
5,29,1
5,30,2
5,31,2
5,32,1
5,33,0
5,34,2
5,35,2
5,36,0
5,37,1
5,38,1
5,39,0
5,40,2
5,41,0
5,42,0
5,43,0
5,44,0
5,45,1
5,46,0
5,47,0
5,48,0
5,49,2
5,50,1
5,51,0
5,52,1
5,53,2
5,54,0
5,55,1
5,56,0
5,57,2
5,58,2
5,59,2
5,60,1
5,61,2
5,62,0
5,63,1
5,64,0
6,7,2
6,8,0
6,9,2
6,10,2
6,11,0
6,12,2
6,13,0
6,14,1
6,15,1
6,16,0
6,17,0
6,18,2
6,19,0
6,20,2
6,21,1
6,22,0
6,23,2
6,24,2
6,25,2
6,26,2
6,27,1
6,28,0
6,29,1
6,30,0
6,31,1
6,32,2
6,33,1
6,34,1
6,35,0
6,36,0
6,37,2
6,38,2
6,39,2
6,40,0
6,41,0
6,42,2
6,43,2
6,44,2
6,45,2
6,46,1
6,47,1
6,48,1
6,49,1
6,50,1
6,51,0
6,52,0
6,53,2
6,54,0
6,55,0
6,56,2
6,57,0
6,58,0
6,59,0
6,60,0
6,61,2
6,62,2
6,63,2
6,64,1
7,8,2
7,9,0
7,10,0
7,11,2
7,12,1
7,13,0
7,14,0
7,15,0
7,16,1
7,17,2
7,18,0
7,19,0
7,20,2
7,21,2
7,22,0
7,23,0
7,24,1
7,25,1
7,26,1
7,27,1
7,28,2
7,29,1
7,30,2
7,31,2
7,32,0
7,33,1
7,34,1
7,35,1
7,36,1
7,37,2
7,38,1
7,39,1
7,40,1
7,41,1
7,42,1
7,43,2
7,44,2
7,45,0
7,46,1
7,47,0
7,48,2
7,49,0
7,50,1
7,51,2
7,52,0
7,53,2
7,54,2
7,55,1
7,56,2
7,57,1
7,58,0
7,59,1
7,60,2
7,61,1
7,62,1
7,63,0
7,64,2
8,9,0
8,10,1
8,11,2
8,12,1
8,13,0
8,14,0
8,15,0
8,16,1
8,17,2
8,18,1
8,19,2
8,20,1
8,21,0
8,22,2
8,23,2
8,24,2
8,25,1
8,26,2
8,27,0
8,28,1
8,29,0
8,30,2
8,31,0
8,32,2
8,33,2
8,34,0
8,35,2
8,36,0
8,37,2
8,38,2
8,39,2
8,40,1
8,41,1
8,42,2
8,43,0
8,44,1
8,45,0
8,46,1
8,47,0
8,48,1
8,49,0
8,50,1
8,51,0
8,52,0
8,53,0
8,54,2
8,55,1
8,56,1
8,57,2
8,58,1
8,59,0
8,60,1
8,61,0
8,62,0
8,63,0
8,64,0
9,10,2
9,11,0
9,12,1
9,13,2
9,14,2
9,15,2
9,16,1
9,17,0
9,18,2
9,19,1
9,20,1
9,21,0
9,22,1
9,23,2
9,24,2
9,25,1
9,26,1
9,27,1
9,28,0
9,29,1
9,30,1
9,31,0
9,32,2
9,33,1
9,34,1
9,35,0
9,36,0
9,37,0
9,38,0
9,39,0
9,40,2
9,41,2
9,42,2
9,43,2
9,44,1
9,45,2
9,46,0
9,47,0
9,48,1
9,49,2
9,50,2
9,51,1
9,52,1
9,53,2
9,54,0
9,55,2
9,56,1
9,57,0
9,58,1
9,59,0
9,60,0
9,61,1
9,62,2
9,63,1
9,64,0
10,11,2
10,12,2
10,13,1
10,14,0
10,15,2
10,16,1
10,17,0
10,18,1
10,19,2
10,20,0
10,21,2
10,22,2
10,23,2
10,24,1
10,25,2
10,26,1
10,27,2
10,28,1
10,29,0
10,30,2
10,31,1
10,32,0
10,33,0
10,34,1
10,35,0
10,36,0
10,37,2
10,38,2
10,39,0
10,40,2
10,41,2
10,42,1
10,43,2
10,44,2
10,45,1
10,46,2
10,47,0
10,48,1
10,49,1
10,50,1
10,51,2
10,52,2
10,53,0
10,54,1
10,55,2
10,56,2
10,57,1
10,58,2
10,59,0
10,60,2
10,61,1
10,62,1
10,63,1
10,64,1
11,12,2
11,13,1
11,14,1
11,15,2
11,16,1
11,17,1
11,18,2
11,19,0
11,20,2
11,21,0
11,22,1
11,23,0
11,24,2
11,25,2
11,26,0
11,27,2
11,28,0
11,29,1
11,30,1
11,31,2
11,32,1
11,33,2
11,34,2
11,35,2
11,36,2
11,37,0
11,38,1
11,39,2
11,40,2
11,41,1
11,42,1
11,43,0
11,44,1
11,45,0
11,46,1
11,47,2
11,48,1
11,49,0
11,50,2
11,51,1
11,52,2
11,53,0
11,54,2
11,55,0
11,56,0
11,57,0
11,58,2
11,59,1
11,60,0
11,61,1
11,62,0
11,63,1
11,64,1
12,13,2
12,14,0
12,15,0
12,16,0
12,17,1
12,18,2
12,19,2
12,20,1
12,21,2
12,22,1
12,23,1
12,24,2
12,25,0
12,26,0
12,27,2
12,28,0
12,29,0
12,30,0
12,31,1
12,32,1
12,33,2
12,34,0
12,35,1
12,36,0
12,37,2
12,38,0
12,39,2
12,40,1
12,41,2
12,42,2
12,43,1
12,44,1
12,45,2
12,46,2
12,47,1
12,48,1
12,49,2
12,50,1
12,51,2
12,52,1
12,53,1
12,54,0
12,55,2
12,56,0
12,57,2
12,58,0
12,59,0
12,60,1
12,61,2
12,62,0
12,63,0
12,64,0
13,14,1
13,15,0
13,16,0
13,17,1
13,18,0
13,19,0
13,20,2
13,21,2
13,22,1
13,23,2
13,24,1
13,25,1
13,26,1
13,27,0
13,28,1
13,29,1
13,30,1
13,31,2
13,32,2
13,33,1
13,34,0
13,35,1
13,36,1
13,37,2
13,38,1
13,39,0
13,40,0
13,41,2
13,42,2
13,43,0
13,44,0
13,45,1
13,46,2
13,47,2
13,48,1
13,49,1
13,50,1
13,51,2
13,52,0
13,53,1
13,54,1
13,55,1
13,56,2
13,57,2
13,58,0
13,59,2
13,60,1
13,61,0
13,62,1
13,63,2
13,64,0
14,15,1
14,16,1
14,17,1
14,18,0
14,19,1
14,20,2
14,21,2
14,22,0
14,23,2
14,24,0
14,25,0
14,26,0
14,27,2
14,28,0
14,29,0
14,30,1
14,31,2
14,32,2
14,33,1
14,34,2
14,35,2
14,36,2
14,37,0
14,38,2
14,39,2
14,40,2
14,41,0
14,42,1
14,43,0
14,44,0
14,45,2
14,46,0
14,47,1
14,48,1
14,49,0
14,50,1
14,51,1
14,52,0
14,53,2
14,54,2
14,55,2
14,56,2
14,57,0
14,58,2
14,59,2
14,60,1
14,61,0
14,62,0
14,63,0
14,64,0
15,16,2
15,17,0
15,18,2
15,19,1
15,20,2
15,21,1
15,22,0
15,23,0
15,24,0
15,25,2
15,26,1
15,27,1
15,28,0
15,29,0
15,30,0
15,31,2
15,32,2
15,33,0
15,34,1
15,35,0
15,36,0
15,37,1
15,38,2
15,39,1
15,40,1
15,41,2
15,42,1
15,43,2
15,44,0
15,45,0
15,46,2
15,47,0
15,48,0
15,49,0
15,50,2
15,51,2
15,52,0
15,53,2
15,54,2
15,55,0
15,56,1
15,57,1
15,58,2
15,59,1
15,60,2
15,61,0
15,62,2
15,63,1
15,64,2
16,17,2
16,18,1
16,19,2
16,20,0
16,21,0
16,22,0
16,23,0
16,24,1
16,25,0
16,26,2
16,27,0
16,28,2
16,29,0
16,30,2
16,31,1
16,32,0
16,33,1
16,34,1
16,35,0
16,36,0
16,37,2
16,38,0
16,39,2
16,40,0
16,41,2
16,42,2
16,43,0
16,44,2
16,45,0
16,46,2
16,47,1
16,48,0
16,49,2
16,50,2
16,51,1
16,52,2
16,53,2
16,54,2
16,55,1
16,56,2
16,57,1
16,58,1
16,59,0
16,60,0
16,61,1
16,62,2
16,63,2
16,64,1
17,18,1
17,19,1
17,20,1
17,21,0
17,22,0
17,23,2
17,24,0
17,25,0
17,26,0
17,27,2
17,28,0
17,29,0
17,30,0
17,31,0
17,32,1
17,33,1
17,34,2
17,35,1
17,36,2
17,37,1
17,38,0
17,39,0
17,40,2
17,41,1
17,42,0
17,43,0
17,44,2
17,45,1
17,46,1
17,47,0
17,48,2
17,49,2
17,50,0
17,51,2
17,52,0
17,53,2
17,54,2
17,55,0
17,56,0
17,57,1
17,58,1
17,59,1
17,60,2
17,61,1
17,62,0
17,63,0
17,64,1
18,19,1
18,20,0
18,21,1
18,22,2
18,23,2
18,24,1
18,25,0
18,26,1
18,27,0
18,28,1
18,29,1
18,30,2
18,31,0
18,32,0
18,33,0
18,34,2
18,35,2
18,36,2
18,37,1
18,38,1
18,39,1
18,40,2
18,41,0
18,42,0
18,43,1
18,44,2
18,45,0
18,46,2
18,47,0
18,48,1
18,49,1
18,50,1
18,51,1
18,52,1
18,53,0
18,54,0
18,55,1
18,56,2
18,57,0
18,58,1
18,59,1
18,60,0
18,61,1
18,62,0
18,63,0
18,64,1
19,20,1
19,21,2
19,22,0
19,23,2
19,24,1
19,25,0
19,26,2
19,27,0
19,28,0
19,29,2
19,30,1
19,31,1
19,32,2
19,33,0
19,34,0
19,35,2
19,36,1
19,37,2
19,38,0
19,39,2
19,40,2
19,41,2
19,42,2
19,43,0
19,44,1
19,45,2
19,46,1
19,47,1
19,48,1
19,49,1
19,50,1
19,51,2
19,52,0
19,53,2
19,54,0
19,55,0
19,56,1
19,57,1
19,58,0
19,59,1
19,60,2
19,61,0
19,62,2
19,63,0
19,64,2
20,21,0
20,22,2
20,23,1
20,24,2
20,25,0
20,26,1
20,27,0
20,28,1
20,29,0
20,30,2
20,31,0
20,32,2
20,33,1
20,34,0
20,35,1
20,36,2
20,37,0
20,38,1
20,39,0
20,40,0
20,41,2
20,42,1
20,43,1
20,44,0
20,45,2
20,46,2
20,47,1
20,48,1
20,49,2
20,50,2
20,51,2
20,52,2
20,53,0
20,54,0
20,55,2
20,56,1
20,57,2
20,58,0
20,59,0
20,60,2
20,61,1
20,62,2
20,63,0
20,64,0
21,22,1
21,23,0
21,24,2
21,25,2
21,26,0
21,27,0
21,28,0
21,29,1
21,30,1
21,31,2
21,32,0
21,33,0
21,34,0
21,35,1
21,36,2
21,37,1
21,38,2
21,39,1
21,40,2
21,41,0
21,42,1
21,43,1
21,44,0
21,45,0
21,46,0
21,47,2
21,48,2
21,49,2
21,50,2
21,51,0
21,52,1
21,53,2
21,54,1
21,55,1
21,56,2
21,57,2
21,58,1
21,59,1
21,60,0
21,61,1
21,62,1
21,63,2
21,64,2
22,23,1
22,24,2
22,25,1
22,26,1
22,27,2
22,28,2
22,29,2
22,30,1
22,31,2
22,32,0
22,33,1
22,34,2
22,35,2
22,36,1
22,37,0
22,38,0
22,39,0
22,40,2
22,41,1
22,42,0
22,43,2
22,44,0
22,45,0
22,46,0
22,47,1
22,48,1
22,49,2
22,50,0
22,51,2
22,52,1
22,53,1
22,54,1
22,55,1
22,56,2
22,57,2
22,58,0
22,59,2
22,60,2
22,61,1
22,62,0
22,63,0
22,64,1
23,24,1
23,25,1
23,26,1
23,27,2
23,28,0
23,29,2
23,30,1
23,31,0
23,32,0
23,33,2
23,34,1
23,35,2
23,36,2
23,37,1
23,38,1
23,39,1
23,40,0
23,41,2
23,42,2
23,43,1
23,44,1
23,45,1
23,46,1
23,47,1
23,48,0
23,49,2
23,50,2
23,51,1
23,52,2
23,53,0
23,54,0
