step,beta,energy,rho,event
78,1.96293,465.962,3166.16,fracture_detected
79,1.98797,465.962,1122.88,step
79,1.98797,465.962,1122.88,fracture_detected
80,2.01301,465.962,4998.36,step
80,2.01301,465.962,4998.36,fracture_detected
81,2.03805,465.962,11190.4,step
81,2.03805,465.962,11190.4,fracture_detected
82,2.06308,465.962,3788.63,step
82,2.06308,465.962,3788.63,fracture_detected
83,2.08812,465.962,2636.07,step
83,2.08812,465.962,2636.07,fracture_detected
84,2.11316,465.962,3150.92,step
84,2.11316,465.962,3150.92,fracture_detected
85,2.1382,465.962,3298.34,step
85,2.1382,465.962,3298.34,fracture_detected
86,2.16323,465.962,2590.52,step
86,2.16323,465.962,2590.52,fracture_detected
87,2.18827,465.962,516.63,step
87,2.18827,465.962,516.63,fracture_detected
88,2.21331,465.962,196.011,step
88,2.21331,465.962,196.011,fracture_detected
89,2.23835,465.962,944.989,step
89,2.23835,465.962,944.989,fracture_detected
90,2.26338,465.962,4061.49,step
90,2.26338,465.962,4061.49,fracture_detected
91,2.28842,468.036,522.411,step
91,2.28842,468.036,522.411,fracture_detected
92,2.31346,465.962,3051.76,step
92,2.31346,465.962,3051.76,fracture_detected
93,2.3385,465.962,6830.71,step
93,2.3385,465.962,6830.71,fracture_detected
94,2.36353,465.962,4113.44,step
94,2.36353,465.962,4113.44,fracture_detected
95,2.38857,465.962,5876.26,step
95,2.38857,465.962,5876.26,fracture_detected
96,2.41361,465.962,6004.38,step
96,2.41361,465.962,6004.38,fracture_detected
97,2.43865,465.962,4575.74,step
97,2.43865,465.962,4575.74,fracture_detected
98,2.46368,465.962,7005.44,step
98,2.46368,465.962,7005.44,fracture_detected
99,2.48872,465.962,13198.9,step
99,2.48872,465.962,13198.9,fracture_detected
100,2.51376,465.962,18393.4,step
100,2.51376,465.962,18393.4,fracture_detected
101,2.5388,465.962,9144.78,step
101,2.5388,465.962,9144.78,fracture_detected
102,2.56383,465.962,6659.78,step
102,2.56383,465.962,6659.78,fracture_detected
103,2.58887,465.962,1136.08,step
103,2.58887,465.962,1136.08,fracture_detected
104,2.61391,465.962,7938.44,step
104,2.61391,465.962,7938.44,fracture_detected
105,2.63895,465.962,8847.81,step
105,2.63895,465.962,8847.81,fracture_detected
106,2.66398,465.962,5801.14,step
106,2.66398,465.962,5801.14,fracture_detected
107,2.68902,465.962,5761.44,step
107,2.68902,465.962,5761.44,fracture_detected
108,2.71406,465.962,8071.36,step
108,2.71406,465.962,8071.36,fracture_detected
109,2.7391,465.962,4960.66,step
109,2.7391,465.962,4960.66,fracture_detected
110,2.76414,465.962,347.502,step
110,2.76414,465.962,347.502,fracture_detected
111,2.78917,468.036,6411.34,step
111,2.78917,468.036,6411.34,fracture_detected
112,2.81421,465.962,136.847,step
112,2.81421,465.962,136.847,fracture_detected
113,2.83925,465.962,9112.78,step
113,2.83925,465.962,9112.78,fracture_detected
114,2.86429,465.962,19542.3,step
114,2.86429,465.962,19542.3,fracture_detected
115,2.88932,465.962,7488.78,step
115,2.88932,465.962,7488.78,fracture_detected
116,2.91436,465.962,2682.65,step
116,2.91436,465.962,2682.65,fracture_detected
117,2.9394,465.962,1345.53,step
117,2.9394,465.962,1345.53,fracture_detected
118,2.96444,465.962,14181.4,step
118,2.96444,465.962,14181.4,fracture_detected
119,2.98947,465.962,18609.3,step
119,2.98947,465.962,18609.3,fracture_detected
120,3.01451,465.962,4099.23,step
120,3.01451,465.962,4099.23,fracture_detected
121,3.03955,465.962,5843.08,step
121,3.03955,465.962,5843.08,fracture_detected
122,3.06459,465.962,10676.1,step
122,3.06459,465.962,10676.1,fracture_detected
123,3.08962,465.962,2714.8,step
123,3.08962,465.962,2714.8,fracture_detected
124,3.11466,465.962,10686.4,step
124,3.11466,465.962,10686.4,fracture_detected
125,3.1397,465.962,4985.43,step
125,3.1397,465.962,4985.43,fracture_detected
126,3.16474,465.962,17579.8,step
126,3.16474,465.962,17579.8,fracture_detected
127,3.18977,465.962,16164.5,step
127,3.18977,465.962,16164.5,fracture_detected
128,3.21481,465.962,13262.7,step
128,3.21481,465.962,13262.7,fracture_detected
129,3.23985,465.962,70.4216,step
129,3.23985,465.962,70.4216,fracture_detected
130,3.26489,465.962,3489.89,step
130,3.26489,465.962,3489.89,fracture_detected
131,3.28992,465.962,6173.02,step
131,3.28992,465.962,6173.02,fracture_detected
132,3.31496,465.962,13985.7,step
132,3.31496,465.962,13985.7,fracture_detected
133,3.34,465.962,4860.06,step
133,3.34,465.962,4860.06,fracture_detected
134,3.36504,465.962,1024.61,step
134,3.36504,465.962,1024.61,fracture_detected
135,3.39008,465.962,3895.06,step
135,3.39008,465.962,3895.06,fracture_detected
136,3.41511,465.962,7109.16,step
136,3.41511,465.962,7109.16,fracture_detected
137,3.44015,465.962,6295.32,step
137,3.44015,465.962,6295.32,fracture_detected
138,3.46519,465.962,1746.18,step
138,3.46519,465.962,1746.18,fracture_detected
139,3.49023,465.962,22.6809,step
139,3.49023,465.962,22.6809,fracture_detected
140,3.51526,465.962,4452.6,step
140,3.51526,465.962,4452.6,fracture_detected
141,3.5403,465.962,9353.21,step
141,3.5403,465.962,9353.21,fracture_detected
142,3.56534,465.962,5549.9,step
142,3.56534,465.962,5549.9,fracture_detected
143,3.59038,465.962,8136.63,step
143,3.59038,465.962,8136.63,fracture_detected
144,3.61541,465.962,3160.62,step
144,3.61541,465.962,3160.62,fracture_detected
145,3.64045,465.962,9093.25,step
145,3.64045,465.962,9093.25,fracture_detected
146,3.66549,465.962,7499.77,step
146,3.66549,465.962,7499.77,fracture_detected
147,3.69053,465.962,6920.58,step
147,3.69053,465.962,6920.58,fracture_detected
148,3.71556,465.962,3638.36,step
148,3.71556,465.962,3638.36,fracture_detected
149,3.7406,465.962,5428.45,step
149,3.7406,465.962,5428.45,fracture_detected
150,3.76564,465.962,8732.32,step
150,3.76564,465.962,8732.32,fracture_detected
151,3.79068,465.962,527.855,step
151,3.79068,465.962,527.855,fracture_detected
152,3.81571,465.962,4708.94,step
152,3.81571,465.962,4708.94,fracture_detected
153,3.84075,465.962,9246.38,step
153,3.84075,465.962,9246.38,fracture_detected
154,3.86579,465.962,10847.4,step
154,3.86579,465.962,10847.4,fracture_detected
155,3.89083,465.962,13432.9,step
