step,beta,energy,rho,event
56,1.41211,4.82048e+09,2.07381e+12,step
56,1.41211,4.82048e+09,2.07381e+12,fracture_detected
57,1.43714,4.82048e+09,2.6541e+11,step
57,1.43714,4.82048e+09,2.6541e+11,fracture_detected
58,1.46218,4.82048e+09,1.94068e+12,step
58,1.46218,4.82048e+09,1.94068e+12,fracture_detected
59,1.48722,4.82048e+09,1.64638e+13,step
59,1.48722,4.82048e+09,1.64638e+13,fracture_detected
60,1.51226,4.82048e+09,1.74013e+13,step
60,1.51226,4.82048e+09,1.74013e+13,fracture_detected
61,1.53729,4.82048e+09,5.72943e+09,step
61,1.53729,4.82048e+09,5.72943e+09,fracture_detected
62,1.56233,4.82048e+09,6.20021e+12,step
62,1.56233,4.82048e+09,6.20021e+12,fracture_detected
63,1.58737,4.82048e+09,3.08453e+12,step
63,1.58737,4.82048e+09,3.08453e+12,fracture_detected
64,1.61241,4.82048e+09,1.34519e+13,step
64,1.61241,4.82048e+09,1.34519e+13,fracture_detected
65,1.63744,4.82048e+09,1.64583e+13,step
65,1.63744,4.82048e+09,1.64583e+13,fracture_detected
66,1.66248,4.82048e+09,3.09376e+12,step
66,1.66248,4.82048e+09,3.09376e+12,fracture_detected
67,1.68752,4.82048e+09,2.0818e+12,step
67,1.68752,4.82048e+09,2.0818e+12,fracture_detected
68,1.71256,4.82048e+09,4.32522e+11,step
68,1.71256,4.82048e+09,4.32522e+11,fracture_detected
69,1.73759,4.82048e+09,7.57192e+12,step
69,1.73759,4.82048e+09,7.57192e+12,fracture_detected
70,1.76263,4.82048e+09,7.05721e+12,step
70,1.76263,4.82048e+09,7.05721e+12,fracture_detected
71,1.78767,4.82048e+09,1.90721e+11,step
71,1.78767,4.82048e+09,1.90721e+11,fracture_detected
72,1.81271,4.82048e+09,5.3786e+12,step
72,1.81271,4.82048e+09,5.3786e+12,fracture_detected
73,1.83774,4.82048e+09,6.6252e+12,step
73,1.83774,4.82048e+09,6.6252e+12,fracture_detected
74,1.86278,4.82048e+09,2.82817e+11,step
74,1.86278,4.82048e+09,2.82817e+11,fracture_detected
75,1.88782,4.82048e+09,1.93835e+12,step
75,1.88782,4.82048e+09,1.93835e+12,fracture_detected
76,1.91286,4.82048e+09,2.41958e+12,step
76,1.91286,4.82048e+09,2.41958e+12,fracture_detected
77,1.93789,4.82048e+09,6.82533e+12,step
77,1.93789,4.82048e+09,6.82533e+12,fracture_detected
78,1.96293,4.82048e+09,3.1621e+12,step
78,1.96293,4.82048e+09,3.1621e+12,fracture_detected
78,1.96293,405005,3.1621e+12,branch_jump
79,1.98797,4.82048e+09,2.59237e+12,step
79,1.98797,4.82048e+09,2.59237e+12,fracture_detected
80,2.01301,4.82048e+09,6.91403e+11,step
80,2.01301,4.82048e+09,6.91403e+11,fracture_detected
81,2.03805,4.82048e+09,1.30141e+12,step
81,2.03805,4.82048e+09,1.30141e+12,fracture_detected
82,2.06308,4.82048e+09,3.61556e+11,step
82,2.06308,4.82048e+09,3.61556e+11,fracture_detected
83,2.08812,4.82048e+09,4.41244e+12,step
83,2.08812,4.82048e+09,4.41244e+12,fracture_detected
84,2.11316,4.82048e+09,3.56251e+12,step
84,2.11316,4.82048e+09,3.56251e+12,fracture_detected
85,2.1382,4.82048e+09,4.51168e+12,step
85,2.1382,4.82048e+09,4.51168e+12,fracture_detected
86,2.16323,4.82048e+09,5.08231e+12,step
86,2.16323,4.82048e+09,5.08231e+12,fracture_detected
87,2.18827,4.82048e+09,5.29727e+12,step
87,2.18827,4.82048e+09,5.29727e+12,fracture_detected
88,2.21331,4.82048e+09,7.89156e+11,step
88,2.21331,4.82048e+09,7.89156e+11,fracture_detected
89,2.23835,4.82048e+09,3.10931e+12,step
89,2.23835,4.82048e+09,3.10931e+12,fracture_detected
90,2.26338,4.82048e+09,4.60133e+11,step
90,2.26338,4.82048e+09,4.60133e+11,fracture_detected
91,2.28842,4.82048e+09,5.24804e+11,step
91,2.28842,4.82048e+09,5.24804e+11,fracture_detected
92,2.31346,4.82048e+09,7.67086e+12,step
92,2.31346,4.82048e+09,7.67086e+12,fracture_detected
93,2.3385,4.82048e+09,8.94177e+11,step
93,2.3385,4.82048e+09,8.94177e+11,fracture_detected
94,2.36353,4.82048e+09,7.15202e+12,step
94,2.36353,4.82048e+09,7.15202e+12,fracture_detected
95,2.38857,4.82048e+09,3.59896e+12,step
95,2.38857,4.82048e+09,3.59896e+12,fracture_detected
96,2.41361,4.82048e+09,1.23927e+13,step
96,2.41361,4.82048e+09,1.23927e+13,fracture_detected
97,2.43865,4.82048e+09,1.02981e+13,step
97,2.43865,4.82048e+09,1.02981e+13,fracture_detected
98,2.46368,4.82048e+09,5.98233e+12,step
98,2.46368,4.82048e+09,5.98233e+12,fracture_detected
99,2.48872,4.82048e+09,6.36586e+11,step
99,2.48872,4.82048e+09,6.36586e+11,fracture_detected
100,2.51376,4.82048e+09,7.89608e+11,step
100,2.51376,4.82048e+09,7.89608e+11,fracture_detected
101,2.5388,4.82048e+09,1.81689e+13,step
101,2.5388,4.82048e+09,1.81689e+13,fracture_detected
102,2.56383,4.82048e+09,5.58769e+12,step
102,2.56383,4.82048e+09,5.58769e+12,fracture_detected
103,2.58887,4.82048e+09,1.08647e+13,step
103,2.58887,4.82048e+09,1.08647e+13,fracture_detected
104,2.61391,4.82048e+09,1.95139e+12,step
104,2.61391,4.82048e+09,1.95139e+12,fracture_detected
105,2.63895,4.82048e+09,3.46589e+11,step
105,2.63895,4.82048e+09,3.46589e+11,fracture_detected
106,2.66398,4.82048e+09,5.33488e+11,step
106,2.66398,4.82048e+09,5.33488e+11,fracture_detected
107,2.68902,4.82048e+09,5.61495e+11,step
107,2.68902,4.82048e+09,5.61495e+11,fracture_detected
108,2.71406,4.82048e+09,5.02661e+12,step
108,2.71406,4.82048e+09,5.02661e+12,fracture_detected
109,2.7391,4.82048e+09,6.22671e+12,step
109,2.7391,4.82048e+09,6.22671e+12,fracture_detected
110,2.76414,4.82048e+09,4.06773e+11,step
110,2.76414,4.82048e+09,4.06773e+11,fracture_detected
111,2.78917,4.82048e+09,7.97164e+11,step
111,2.78917,4.82048e+09,7.97164e+11,fracture_detected
112,2.81421,4.82048e+09,8.26607e+12,step
112,2.81421,4.82048e+09,8.26607e+12,fracture_detected
113,2.83925,4.82048e+09,1.92965e+12,step
113,2.83925,4.82048e+09,1.92965e+12,fracture_detected
114,2.86429,4.82048e+09,5.02317e+12,step
114,2.86429,4.82048e+09,5.02317e+12,fracture_detected
115,2.88932,4.82048e+09,8.14683e+10,step
115,2.88932,4.82048e+09,8.14683e+10,fracture_detected
116,2.91436,4.82048e+09,9.5753e+12,step
