step,beta,energy,rho,type
85,0.269167,222,382.435,fracture_detected
86,0.271157,222,2229.55,step
86,0.271157,222,2229.55,fracture_detected
87,0.273147,222,2421.76,step
87,0.273147,222,2421.76,fracture_detected
88,0.275138,222,1873.97,step
88,0.275138,222,1873.97,fracture_detected
89,0.277128,222,2747.01,step
89,0.277128,222,2747.01,fracture_detected
90,0.279118,222,591.466,step
90,0.279118,222,591.466,fracture_detected
91,0.281108,222,2489.31,step
91,0.281108,222,2489.31,fracture_detected
92,0.283098,222,945.154,step
92,0.283098,222,945.154,fracture_detected
93,0.285089,222,2228.71,step
93,0.285089,222,2228.71,fracture_detected
94,0.287079,222,783.331,step
94,0.287079,222,783.331,fracture_detected
95,0.289069,222,1085.84,step
95,0.289069,222,1085.84,fracture_detected
96,0.291059,222,19.3372,step
96,0.291059,222,19.3372,fracture_detected
97,0.293049,222,498.935,step
97,0.293049,222,498.935,fracture_detected
98,0.29504,222,2557.76,step
98,0.29504,222,2557.76,fracture_detected
99,0.29703,222,1677.28,step
99,0.29703,222,1677.28,fracture_detected
100,0.29902,222,3270.77,step
100,0.29902,222,3270.77,fracture_detected
101,0.30101,222,949.407,step
101,0.30101,222,949.407,fracture_detected
102,0.303,222,1676.72,step
102,0.303,222,1676.72,fracture_detected
103,0.30499,222,2681.45,step
103,0.30499,222,2681.45,fracture_detected
104,0.306981,222,1928.57,step
104,0.306981,222,1928.57,fracture_detected
105,0.308971,222,1114.83,step
105,0.308971,222,1114.83,fracture_detected
106,0.310961,222,137.876,step
106,0.310961,222,137.876,fracture_detected
107,0.312951,222,65.7309,step
107,0.312951,222,65.7309,fracture_detected
108,0.314941,222,840.628,step
108,0.314941,222,840.628,fracture_detected
109,0.316932,222,2904.4,step
109,0.316932,222,2904.4,fracture_detected
110,0.318922,222,901.698,step
110,0.318922,222,901.698,fracture_detected
111,0.320912,222,864.101,step
111,0.320912,222,864.101,fracture_detected
112,0.322902,222,1017.98,step
112,0.322902,222,1017.98,fracture_detected
113,0.324892,222,2952.36,step
113,0.324892,222,2952.36,fracture_detected
114,0.326883,222,618.974,step
114,0.326883,222,618.974,fracture_detected
115,0.328873,222,467.477,step
115,0.328873,222,467.477,fracture_detected
116,0.330863,222,250.185,step
116,0.330863,222,250.185,fracture_detected
117,0.332853,222,1628.05,step
117,0.332853,222,1628.05,fracture_detected
118,0.334843,222,1023.94,step
118,0.334843,222,1023.94,fracture_detected
119,0.336834,222,342.896,step
119,0.336834,222,342.896,fracture_detected
120,0.338824,222,276.978,step
120,0.338824,222,276.978,fracture_detected
121,0.340814,222,616.615,step
121,0.340814,222,616.615,fracture_detected
122,0.342804,222,7.66737,step
122,0.342804,222,7.66737,fracture_detected
123,0.344794,222,2281.38,step
123,0.344794,222,2281.38,fracture_detected
124,0.346785,222,1193.65,step
124,0.346785,222,1193.65,fracture_detected
125,0.348775,222,947.486,step
125,0.348775,222,947.486,fracture_detected
126,0.350765,222,1753.51,step
126,0.350765,222,1753.51,fracture_detected
127,0.352755,222,360.645,step
127,0.352755,222,360.645,fracture_detected
128,0.354745,222,2092.68,step
128,0.354745,222,2092.68,fracture_detected
129,0.356736,222,3694.51,step
129,0.356736,222,3694.51,fracture_detected
130,0.358726,222,3531.05,step
130,0.358726,222,3531.05,fracture_detected
131,0.360716,222,1122.64,step
131,0.360716,222,1122.64,fracture_detected
132,0.362706,222,1997.63,step
132,0.362706,222,1997.63,fracture_detected
133,0.364696,222,4998.66,step
133,0.364696,222,4998.66,fracture_detected
134,0.366687,222,1146.66,step
134,0.366687,222,1146.66,fracture_detected
135,0.368677,222,761.562,step
135,0.368677,222,761.562,fracture_detected
136,0.370667,222,646.831,step
136,0.370667,222,646.831,fracture_detected
137,0.372657,222,4021.57,step
137,0.372657,222,4021.57,fracture_detected
138,0.374647,222,4389.71,step
138,0.374647,222,4389.71,fracture_detected
139,0.376638,222,505.178,step
139,0.376638,222,505.178,fracture_detected
140,0.378628,222,2942.81,step
140,0.378628,222,2942.81,fracture_detected
141,0.380618,222,1147.58,step
141,0.380618,222,1147.58,fracture_detected
142,0.382608,222,5626.08,step
142,0.382608,222,5626.08,fracture_detected
