u,v,color
0,1,1
0,2,0
0,3,0
0,4,0
0,5,2
0,6,1
0,7,2
0,8,2
0,9,2
0,10,2
0,11,1
0,12,0
0,13,1
0,14,0
0,15,0
0,16,0
0,17,1
0,18,2
0,19,0
0,20,0
0,21,1
0,22,1
0,23,1
0,24,1
0,25,2
0,26,2
0,27,0
0,28,1
0,29,2
0,30,1
0,31,1
0,32,1
0,33,2
0,34,2
0,35,1
0,36,2
0,37,1
0,38,1
0,39,1
0,40,0
0,41,2
0,42,2
0,43,2
0,44,1
0,45,0
0,46,2
0,47,0
0,48,2
0,49,0
0,50,2
0,51,0
0,52,0
0,53,2
0,54,0
0,55,2
0,56,0
0,57,1
0,58,2
0,59,2
1,2,2
1,3,0
1,4,1
1,5,1
1,6,0
1,7,2
1,8,1
1,9,2
1,10,2
1,11,0
1,12,0
1,13,2
1,14,2
1,15,0
1,16,2
1,17,1
1,18,2
1,19,0
1,20,2
1,21,2
1,22,0
1,23,1
1,24,0
1,25,0
1,26,0
1,27,0
1,28,0
1,29,0
1,30,2
1,31,1
1,32,1
1,33,1
1,34,2
1,35,1
1,36,2
1,37,2
1,38,0
1,39,0
1,40,1
1,41,1
1,42,2
1,43,0
1,44,0
1,45,0
1,46,1
1,47,1
1,48,0
1,49,2
1,50,0
1,51,0
1,52,1
1,53,0
1,54,2
1,55,2
1,56,2
1,57,1
1,58,2
1,59,0
2,3,2
2,4,0
2,5,2
2,6,0
2,7,0
2,8,1
2,9,1
2,10,1
2,11,2
2,12,2
2,13,1
2,14,1
2,15,0
2,16,0
2,17,1
2,18,0
2,19,0
2,20,1
2,21,2
2,22,0
2,23,1
2,24,2
2,25,0
2,26,0
2,27,1
2,28,1
2,29,0
2,30,0
2,31,2
2,32,2
2,33,2
2,34,2
2,35,0
2,36,1
2,37,1
2,38,0
2,39,0
2,40,1
2,41,1
2,42,2
2,43,0
2,44,0
2,45,2
2,46,0
2,47,0
2,48,2
2,49,0
2,50,1
2,51,0
2,52,1
2,53,1
2,54,2
2,55,0
2,56,2
2,57,2
2,58,1
2,59,2
3,4,1
3,5,2
3,6,2
3,7,0
3,8,2
3,9,1
3,10,0
3,11,0
3,12,0
3,13,1
3,14,1
3,15,2
3,16,2
3,17,1
3,18,2
3,19,1
3,20,0
3,21,2
3,22,2
3,23,1
3,24,0
3,25,0
3,26,1
3,27,1
3,28,2
3,29,1
3,30,2
3,31,0
3,32,1
3,33,2
3,34,0
3,35,1
3,36,1
3,37,0
3,38,1
3,39,2
3,40,0
3,41,0
3,42,1
3,43,0
3,44,1
3,45,2
3,46,0
3,47,0
3,48,1
3,49,2
3,50,1
3,51,2
3,52,2
3,53,0
3,54,2
3,55,2
3,56,0
3,57,0
3,58,1
3,59,2
4,5,2
4,6,1
4,7,1
4,8,2
4,9,1
4,10,2
4,11,0
4,12,2
4,13,2
4,14,0
4,15,1
4,16,2
4,17,2
4,18,2
4,19,0
4,20,0
4,21,1
4,22,2
4,23,0
4,24,2
4,25,1
4,26,0
4,27,0
4,28,2
4,29,0
4,30,1
4,31,0
4,32,1
4,33,0
4,34,2
4,35,0
4,36,2
4,37,0
4,38,0
4,39,0
4,40,0
4,41,2
4,42,0
4,43,2
4,44,1
4,45,1
4,46,2
4,47,0
4,48,0
4,49,2
4,50,0
4,51,1
4,52,1
4,53,1
4,54,1
4,55,1
4,56,0
4,57,2
4,58,1
4,59,1
5,6,1
5,7,2
5,8,1
5,9,1
5,10,1
5,11,2
5,12,2
5,13,0
5,14,1
5,15,2
5,16,0
5,17,0
5,18,1
5,19,0
5,20,1
5,21,0
5,22,2
5,23,0
5,24,0
5,25,0
5,26,1
5,27,0
5,28,2
5,29,0
5,30,2
5,31,2
5,32,2
5,33,0
5,34,2
5,35,0
5,36,2
5,37,2
5,38,2
5,39,1
5,40,0
5,41,1
5,42,1
5,43,0
5,44,1
5,45,1
5,46,2
5,47,1
5,48,1
5,49,0
5,50,2
5,51,2
5,52,2
5,53,1
5,54,2
5,55,1
5,56,0
5,57,0
5,58,1
5,59,1
6,7,2
6,8,0
6,9,0
6,10,2
6,11,1
6,12,2
6,13,1
6,14,0
6,15,0
6,16,1
6,17,0
6,18,0
6,19,1
6,20,2
6,21,1
6,22,1
6,23,1
6,24,2
6,25,2
6,26,1
6,27,0
6,28,2
6,29,2
6,30,1
6,31,2
6,32,0
6,33,1
6,34,2
6,35,0
6,36,2
6,37,0
6,38,0
6,39,1
6,40,0
6,41,0
6,42,0
6,43,0
6,44,2
6,45,0
6,46,0
6,47,0
6,48,1
6,49,0
6,50,2
6,51,1
6,52,1
6,53,1
6,54,1
6,55,0
6,56,2
6,57,0
6,58,0
6,59,2
7,8,1
7,9,0
7,10,1
7,11,1
7,12,1
7,13,1
7,14,1
7,15,2
7,16,2
7,17,1
7,18,0
7,19,1
7,20,0
7,21,0
7,22,1
7,23,0
7,24,0
7,25,1
7,26,1
7,27,0
7,28,2
7,29,2
7,30,1
7,31,2
7,32,0
7,33,2
7,34,2
7,35,0
7,36,1
7,37,0
7,38,2
7,39,2
7,40,2
7,41,0
7,42,0
7,43,0
7,44,2
7,45,1
7,46,2
7,47,1
7,48,2
7,49,2
7,50,0
7,51,1
7,52,2
7,53,1
7,54,1
7,55,0
7,56,1
7,57,2
7,58,2
7,59,0
8,9,1
8,10,1
8,11,2
8,12,0
8,13,2
8,14,2
8,15,1
8,16,0
8,17,0
8,18,1
8,19,2
8,20,0
8,21,1
8,22,2
8,23,1
8,24,0
8,25,1
8,26,1
8,27,0
8,28,2
8,29,1
8,30,1
8,31,0
8,32,1
8,33,1
8,34,2
8,35,0
8,36,0
8,37,1
8,38,2
8,39,0
8,40,1
8,41,1
8,42,2
8,43,0
8,44,1
8,45,0
8,46,0
8,47,1
8,48,2
8,49,2
8,50,1
8,51,1
8,52,0
8,53,2
8,54,2
8,55,1
8,56,2
8,57,2
8,58,1
8,59,2
9,10,0
9,11,0
9,12,2
9,13,2
9,14,0
9,15,1
9,16,2
9,17,2
9,18,0
9,19,1
9,20,1
9,21,1
9,22,1
9,23,0
9,24,0
9,25,2
9,26,0
9,27,1
9,28,0
9,29,1
9,30,0
9,31,2
9,32,2
9,33,0
9,34,0
9,35,0
9,36,2
9,37,0
9,38,2
9,39,0
9,40,0
9,41,0
9,42,2
9,43,0
9,44,0
9,45,1
9,46,2
9,47,0
9,48,2
9,49,2
9,50,1
9,51,0
9,52,1
9,53,1
9,54,1
9,55,0
9,56,0
9,57,1
9,58,1
9,59,0
10,11,0
10,12,2
10,13,0
10,14,1
10,15,1
10,16,1
10,17,2
10,18,0
10,19,0
10,20,0
10,21,0
10,22,1
10,23,2
10,24,2
10,25,2
10,26,0
10,27,2
10,28,2
10,29,1
10,30,2
10,31,1
10,32,1
10,33,0
10,34,1
10,35,1
10,36,0
10,37,2
10,38,2
10,39,2
10,40,2
10,41,1
10,42,1
10,43,0
10,44,0
10,45,0
10,46,1
10,47,0
10,48,2
10,49,1
10,50,1
10,51,1
10,52,2
10,53,0
10,54,2
10,55,0
10,56,2
10,57,1
10,58,2
10,59,0
11,12,0
11,13,0
11,14,2
11,15,2
11,16,1
11,17,2
11,18,0
